Id,Name,Surname,Division,Manager,Gender,Sexual_Orientation,LGBTQ,Indigenous,Ethnicity,Disability,Minority,Veteran,Date of Birth,Age,Email
1,Deborah,Addison,0,0,3,0,2,0,0,1,0,0,4/06/1993,300,Deborah.Addison@mail.ca
2,Mona,Hill,1,0,0,0,0,1,0,0,1,0,2/08/1963,5.9,Mona.Hill@mail.ca
3,Kimberly,Shelton,2,0,1,0,0,0,0,0,0,0,25/04/1979,1000,Kimberly.Shelton@mail.ca
4,Denis,Robinson,3,0,0,0,0,0,0,1,1,0,11/02/1978,44,Denis.Robinson@mail.ca
5,Carmen,Gunn,4,0,0,0,0,0,1,0,0,0,11/03/1972,50,Carmen.Gunn@mail.ca
6,Nathan,Furnell,5,0,0,0,0,0,2,0,0,0,11/01/1985,37,Nathan.Furnell@mail.ca
7,Luke,Sinclair,1,0,0,3,1,0,0,0,1,0,4/09/1988,34,Luke.Sinclair@mail.ca
8,Fred,Callan,5,0,0,0,0,0,0,0,1,0,9/11/1994,27,Fred.Callan@mail.ca
9,Carter,Owen,2,0,0,0,0,0,2,0,1,0,,52,Carter.Owen@mail.ca
10,Harry,Dobson,5,0,0,0,0,0,2,0,0,0,28/02/1975,47,Harry.Dobson@mail.ca
11,Ramon,Mccall,5,0,0,0,0,0,0,0,0,0,27/03/1968,54,Ramon.Mccall@mail.ca
12,Fred,Wilton,4,0,1,0,2,0,3,0,0,0,1/01/1987,35,Fred.Wilton@mail.ca
13,Nick,Sloan,6,0,2,0,0,0,2,0,0,0,11/01/1968,54,Nick.Sloan@mail.ca
14,Kassandra,Jarrett,6,0,0,0,0,0,3,0,0,0,13/02/1990,32,Kassandra.Jarrett@mail.ca
15,Russel,Larsen,5,0,0,0,0,0,0,0,0,0,11/01/1993,29,Russel.Larsen@mail.ca
16,Rhea,Latham,0,0,0,0,0,0,3,0,0,0,6/08/1990,32,Rhea.Latham@mail.ca
17,Liliana,Todd,3,0,0,0,0,0,0,0,0,0,17/02/1983,39,Liliana.Todd@mail.ca
